Model_Name,Runtime,BENIGN TP,BENIGN FP,BENIGN TN,BENIGN FN,Bot TP,Bot FP,Bot TN,Bot FN,DDoS TP,DDoS FP,DDoS TN,DDoS FN,DoS GoldenEye TP,DoS GoldenEye FP,DoS GoldenEye TN,DoS GoldenEye FN,DoS Hulk TP,DoS Hulk FP,DoS Hulk TN,DoS Hulk FN,DoS Slowhttptest TP,DoS Slowhttptest FP,DoS Slowhttptest TN,DoS Slowhttptest FN,DoS slowloris TP,DoS slowloris FP,DoS slowloris TN,DoS slowloris FN,FTP-Patator TP,FTP-Patator FP,FTP-Patator TN,FTP-Patator FN,Heartbleed TP,Heartbleed FP,Heartbleed TN,Heartbleed FN,Infiltration TP,Infiltration FP,Infiltration TN,Infiltration FN,PortScan TP,PortScan FP,PortScan TN,PortScan FN,SSH-Patator TP,SSH-Patator FP,SSH-Patator TN,SSH-Patator FN,Web Attack - Brute Force TP,Web Attack - Brute Force FP,Web Attack - Brute Force TN,Web Attack - Brute Force FN,Web Attack - Sql Injection TP,Web Attack - Sql Injection FP,Web Attack - Sql Injection TN,Web Attack - Sql Injection FN,Web Attack - XSS TP,Web Attack - XSS FP,Web Attack - XSS TN,Web Attack - XSS FN
210530_1940_all_data_50_epochs.h5,0.28963637351989746,7898,6,6924,990,1960,0,1,5,2121,15,2856,8,92,0,101,1,4102,0,24,454,0,0,72,38,0,0,109,7,476,1,814,1601,0,0,0,0,17,0,19,0,2040,20,2110,830,3,20,765,1320,0,5,1293,209,0,0,21,0,0,2,640,10
210530_2300_all_data_50_es_dropout.h5,0.2829463481903076,7143,31,6899,1745,1950,0,1,15,2101,32,2839,28,91,1,100,2,3974,0,24,582,0,0,72,38,0,0,109,7,423,4,811,1654,0,0,0,0,17,0,19,0,1888,10,2120,982,4,23,762,1319,1,8,1290,208,0,0,21,0,0,8,634,10
210531_0500_3_layer_model.h5,0.2786567211151123,7892,9,6921,996,1959,0,1,6,2122,15,2856,7,92,0,101,1,4009,0,24,547,0,0,72,38,0,0,109,7,462,1,814,1615,0,0,0,0,17,0,19,0,1968,14,2116,902,3,17,768,1320,0,4,1294,209,0,0,21,0,0,2,640,10
210531_0500_5_layer_model.h5,0.2881021499633789,7869,35,6895,1019,1955,0,1,10,2119,36,2835,10,92,1,100,1,4025,0,24,531,0,0,72,38,0,0,109,7,466,3,812,1611,0,0,0,0,17,0,19,0,1990,7,2123,880,3,24,761,1320,0,4,1294,209,0,0,21,0,0,3,639,10
210531_0500_5_layer_model_2.h5,0.2720222473144531,7930,72,6858,958,1960,0,1,5,2121,39,2832,8,92,0,101,1,4156,0,24,400,0,0,72,38,0,0,109,7,483,5,810,1594,0,0,0,0,17,0,19,0,2102,64,2066,768,3,117,668,1320,0,415,883,209,0,5,16,0,0,188,454,10
210531_0500_7_layer_model.h5,0.27397823333740234,7954,25,6905,934,1961,0,1,4,2122,35,2836,7,92,1,100,1,4132,0,24,424,0,0,72,38,0,0,109,7,479,3,812,1598,0,0,0,0,17,0,19,0,2078,24,2106,792,3,27,758,1320,0,7,1291,209,0,0,21,0,0,2,640,10
210531_0500_7_layer_model_2.h5,0.2853245735168457,6956,12,6918,1932,1507,0,1,458,2108,30,2841,21,49,0,101,44,3079,0,24,1477,0,0,72,38,0,0,109,7,474,2,813,1603,0,0,0,0,17,0,19,0,2037,20,2110,833,3,22,763,1320,0,5,1293,209,0,0,21,0,0,3,639,10
